,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
(no genres listed),34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,0,1828,610,142,77,429,418,4,529,208,5,143,93,5,82,93,451,655,128,42
Adventure,0,610,1262,247,312,399,63,6,310,334,2,30,80,40,37,118,306,199,56,37
Animation,0,142,247,610,302,269,21,2,85,175,2,17,34,69,19,46,107,18,7,3
Children,0,77,312,302,664,362,12,1,101,209,0,5,30,84,18,45,58,5,3,6
Comedy,0,429,399,269,362,3753,345,40,1012,293,2,187,27,168,79,882,189,193,59,40
Crime,0,418,63,21,12,345,1196,5,635,21,50,59,11,8,164,81,29,567,10,11
Documentary,0,4,6,2,1,40,5,438,22,2,0,2,8,13,2,2,0,2,12,1
Drama,0,529,310,85,101,1012,635,22,4349,208,49,164,32,115,288,930,208,829,297,59
Fantasy,0,208,334,175,209,293,21,2,208,778,1,88,47,50,55,127,115,91,8,6
Film-Noir,0,5,2,2,0,2,50,0,49,1,85,2,0,0,24,8,3,40,0,1
Horror,0,143,30,17,5,187,59,2,164,88,2,977,12,7,133,24,207,458,3,8
IMAX,0,93,80,34,30,27,11,8,32,47,0,12,158,8,6,9,62,35,4,2
Musical,0,5,40,69,84,168,8,13,115,50,0,7,8,333,5,96,8,3,2,10
Mystery,0,82,37,19,18,79,164,2,288,55,24,133,6,5,573,62,69,354,3,4
Romance,0,93,118,46,45,882,81,2,930,127,8,24,9,96,62,1591,51,114,53,20
Sci-Fi,0,451,306,107,58,189,29,0,208,115,3,207,62,8,69,51,980,302,12,8
Thriller,0,655,199,18,5,193,567,2,829,91,40,458,35,3,354,114,302,1889,41,18
War,0,128,56,7,3,59,10,12,297,8,0,3,4,2,3,53,12,41,381,10
Western,0,42,37,3,6,40,11,1,59,6,1,8,2,10,4,20,8,18,10,167
